pericopeId,title,summary,tags,sortOrder,Matthew,Mark,Luke,John
genealogy-matthew,Genealogy of Jesus (Matthew),Matthew records Jesus’s genealogy from Abraham to Jesus.,birth|identity,10,1:1-17,,,
genealogy-luke,Genealogy of Jesus (Luke),Luke records Jesus’s genealogy in connection with Jesus’s baptism.,birth|identity,20,,,3:23-38,
birth-jesus,Birth of Jesus,Jesus is born in Bethlehem.,birth,30,1:18-25,,2:1-7,
shepherds,Angels and Shepherds,Angels announce Jesus’s birth to shepherds.,birth,40,,,2:8-20,
magi,Visit of the Magi,Wise men worship the newborn king.,birth,50,2:1-12,,,
flight-egypt,Flight into Egypt,Joseph takes Mary and Jesus to Egypt for safety.,birth,60,2:13-15,,,
return-nazareth,Return to Nazareth,The family settles in Nazareth after Herod’s death.,birth,70,2:19-23,,2:39-40,
boy-jesus-temple,Boy Jesus in the Temple,"At age twelve, Jesus is found in the temple.",early life|teaching,80,,,2:41-52,
john-prologue,The Word Made Flesh,John introduces Jesus as the eternal Word made flesh.,identity|teaching,90,,,,1:1-18
john-baptist-ministry,John the Baptist’s Ministry,John prepares the way with repentance and baptism.,john the baptist|teaching,100,3:1-12,1:1-8,3:1-18,1:19-28
baptism,Baptism of Jesus,Jesus is baptized and affirmed from heaven.,baptism|identity,110,3:13-17,1:9-11,3:21-22,1:29-34
temptation,Temptation in the Wilderness,Jesus is tempted in the wilderness.,temptation,120,4:1-11,1:12-13,4:1-13,
first-disciples-john,First Disciples Called,Jesus begins gathering disciples after John’s witness.,discipleship,130,,,,1:35-51
wedding-cana,Wedding at Cana,Jesus turns water into wine.,miracle,140,,,,2:1-11
temple-cleansing-early,Cleansing of the Temple (early),Jesus cleanses the temple early in John’s account.,temple|conflict,150,,,,2:13-22
nicodemus,Jesus and Nicodemus,Jesus teaches about being born again.,teaching,160,,,,3:1-21
samaritan-woman,Woman at the Well,Jesus offers living water to the Samaritan woman.,teaching,170,,,,4:1-42
officials-son,Healing the Official’s Son,Jesus heals a son from a distance.,miracle|healing,180,,,,4:46-54
call-fishermen,Calling of the Fishermen,Jesus calls fishermen to follow him.,discipleship,190,4:18-22,1:16-20,5:1-11,
synagogue-capernaum,Teaching in Capernaum Synagogue,Jesus teaches with authority and casts out an unclean spirit.,miracle|healing,200,,1:21-28,4:31-37,
peters-mother-in-law,Healing Peter’s Mother-in-law,Jesus heals Peter’s mother-in-law and many others.,miracle|healing,210,8:14-17,1:29-34,4:38-41,
first-preaching-tour,First Preaching Tour,Jesus travels preaching in Galilee.,mission,220,,1:35-39,4:42-44,
leper,Cleansing a Leper,Jesus cleanses a leper.,miracle|healing,230,8:1-4,1:40-45,5:12-16,
paralytic,Healing the Paralytic,A paralytic is forgiven and healed.,miracle|healing,240,9:1-8,2:1-12,5:17-26,
call-levi,Call of Matthew/Levi,Jesus calls Levi and eats with sinners.,discipleship,250,9:9-13,2:13-17,5:27-32,
question-fasting,Question About Fasting,Jesus answers a question about fasting.,teaching,260,9:14-17,2:18-22,5:33-39,
bethesda,Healing at Bethesda,Jesus heals a man at Bethesda on the Sabbath.,miracle|healing|sabbath,270,,,,5:1-18
sons-authority,The Son’s Authority,Jesus speaks of his unity with the Father and authority to judge.,teaching|identity,280,,,,5:19-47
grain-sabbath,Plucking Grain on the Sabbath,Jesus teaches that the Son of Man is Lord of the Sabbath.,sabbath|teaching,290,12:1-8,2:23-28,6:1-5,
withered-hand,Man with the Withered Hand,Jesus heals on the Sabbath and faces opposition.,miracle|healing|sabbath,300,12:9-14,3:1-6,6:6-11,
choose-twelve,Choosing the Twelve,Jesus appoints the twelve apostles.,apostles,310,10:1-4,3:13-19,6:12-16,
sermon-mount,Sermon on the Mount / Plain,Jesus teaches kingdom ethics and discipleship.,teaching|sermon,320,5:1-7:29,,6:17-49,
centurion-servant,Centurion’s Servant,Jesus heals a centurion’s servant and praises his faith.,miracle|healing,330,8:5-13,,7:1-10,
widows-son-naim,Widow’s Son at Nain,Jesus raises a widow’s son.,miracle,340,,,7:11-17,
johns-question,John’s Question from Prison,Jesus answers John’s inquiry and honors him.,john the baptist|teaching,350,11:2-19,,7:18-35,
sinful-woman,Sinful Woman Anoints Jesus,A repentant woman anoints Jesus and receives forgiveness.,devotion|teaching,360,,,7:36-50,
sower,Parable of the Sower,The word is received in different kinds of soil.,parable|teaching,370,13:1-23,4:1-20,8:4-15,
lamp-under-basket,Lamp Under a Basket,Light is meant to be seen.,parable|teaching,380,5:14-16,4:21-25,8:16-18,
seed-growing,Parable of the Growing Seed,The kingdom grows in hidden ways.,parable|teaching,390,,4:26-29,,
mustard-seed,Parable of the Mustard Seed,The kingdom grows from small beginnings.,parable,400,13:31-32,4:30-32,13:18-19,
leaven,Parable of the Leaven,The kingdom works through the whole batch like leaven.,parable,410,13:33,,13:20-21,
weeds,Parable of the Weeds,Wheat and weeds grow together until harvest.,parable|teaching,420,"13:24-30,36-43",,,
hidden-treasure,Hidden Treasure,The kingdom is worth everything to gain.,parable,430,13:44,,,
pearl,Pearl of Great Price,The kingdom is like a pearl of great value.,parable,440,13:45-46,,,
dragnet,Parable of the Dragnet,The final sorting is like a dragnet gathering fish.,parable,450,13:47-50,,,
